TweetID,Tweet1,Type1,Tweet2,Type2,Tweet3,Type3,Tweet4,Type4,Tweet5,Type5,Tweet6,Type6,Tweet7,Type7,Tweet8,Type8,Tweet9,Type9,Tweet10,Type10,Rated,P1,C1,P2,C2,P3,C3,P4,C4,P5,C5
Dawnsorrow,"All of a sudden Mitch McConnell and Senate Republicans are worried that someone in America might get a $2,000 check ""who doesn't need it."" Funny. They had no problem giving a $1.4 billion tax break to Charles Koch and his family with a net worth of $113 billion. What hypocrisy!",retweet,"Wisconsin is just FOUR days away from electing Trump’s nightmare to the bench. He knows if Janet Claire Protasiewicz wins, his chances of throwing the election in Wisconsin are over. MAGA is literally flooding money into the race to make sure she loses. The reason is because…",retweet,"I believe every person in America is entitled to the same health care as the President of the United States—with no co-pays, no deductibles and no out-of-pocket expenses. If government-funded health care is good enough for Trump, it is good enough for all of us as a human right.",retweet,🎉 🎉 FANTASTIC NEWS! Democratic-backed Judge Janet Protasiewicz has WON the race for a Wisconsin Supreme Court seat — widely viewed as the single most important election in America this year. Her victory gives liberals a 4-to-3 majority on the court. This will not only…,retweet,I want Trump to be removed so that every 5th grader who asks “why was Mike Pence President for 2 days” hears a story about why white supremacy &amp; fascism are threats to democracy. Millions of students in the next decades will ask this question and will know to reject fascism.,retweet,"Let’s be clear: If we allow a former president to completely avoid accountability for inciting an insurrection against the U.S. government, we will be inviting it to happen all over again. Prosecute Donald Trump.",retweet,"Any man that talks like this will treat any woman like this. Doesn’t matter if you’re Republican, Democrat, or neither, this is clearly not a safe person to leave alone w/ women. Once again, the existence of a wife or daughters doesn’t make a man good. And this one is basura 🚮",retweet,"The man directly responsible for the chaos of today is Donald Trump, who has made it clear that he will do anything to remain in power – including insurrection and inciting violence. Trump will go down in history as the worst and most dangerous president in history.",retweet,Maybe cable news channels can take a tiny break from covering what Trump had for lunch to show the massive crowds of young people flooding into Nashville to demand Republicans pass gun reform.,retweet,The NRA buys off Congress. No action on guns. The oil industry buys off Congress. No action on climate. Insurance companies buy off Congress. No action on health care. Pharma buys off Congress. No action on drug prices. Money in politics is the root of our dysfunction.,retweet,0,,,,,,,,,,
OctoberFox,"@JoJoFromJerz @GOP I don’t really block, but I am quite liberal with the mute button. And it’s not even necessarily because of politics. My general attitude is that if I wouldn’t want to see somebody in real life, then I sure as hell don’t want to see their obnoxious tweets, either.",reply,"Yup. Biden just turned 80 last month. He’s still got a solid 2 decades to go before he’s 100. And it cracks me up that people always comment on his age. Trump is just 4 years younger than Biden, FFS.",reply,@JoJoFromJerz Yup. They always seem to leave that key detail out: people voted in record numbers because they wanted Trump gone. But try telling a Trump leghumper that. They don’t seem to realize that their boy isn’t exactly well-liked.,reply,"@JoJoFromJerz Ugh, YES. The “BUT THE REPUBLICANS FREED THE SLAVES” refrain needs to be retired. Like, yesterday. Also, the people who say that clearly don’t know their history. The EP was more of a strategic political and military move than an anti-racist one.",reply,"@RonFilipkowski Right?! If anyone ever calls me fat and ugly online, it isn’t “the democrats.” It comes from conservatives.",reply,@JoJoFromJerz Biden just turned 80. Trump is 76. Pence is 63. Let’s not pretend any of these nominees/possible nominees for 2024 are exactly spring chickens 😆,reply,"@OccupyDemocrats You have no room to talk about people allegedly being obsessed with Trump, considering that your entire Twitter feed is “Biden this, Biden that!” 🤡",reply,BREAKING: Donald Trump desperately sues his former right-hand man Michael Cohen for upwards of $500 million for revealing his secrets like the Stormy Daniels hush money payment — Trump claims that Cohen broke attorney-client privilege by exposing the truth and writing an…,retweet,"@RonFilipkowski Checks out: these are the same people who said “Let’s go, Brandon” because they were too chickenshit to say “F*ck you, Biden.” (Also, Musk must’ve nixed the free speech business, bc I just got a warning for not censoring the F word 🙄)",reply,"@RonFilipkowski I’m perfectly okay with not having “a Trump,” MTG.",reply,0,,,,,,,,,,
gregmortenson,"Tomorrow, President Biden will announce the withdraw all US troops from Afghanistan by September 11, 2021 on the 20th anniversary of 9/11 attack. USA now joins a long list of empires buried in Afghanistan graveyards. Why does USA avoid talking to / or asking women their thoughts?",tweet,"Why did he not support of HR1620 Violence Against Women Act VAWA stalled for nearly 3 yrs in Senate. Congress voted 244-172 to pass March 16. ~$500 million annual support for sexual assault survivors, training, advocacy, hotlines. Bozeman Haven shelter ~$160K annual support.",reply,"Offended by @POTUS President Biden ignorant remark in State of The Union speech describing upper Kunar valley, Afghanistan as 'the gates of hell'. It is a rugged, beautiful place, and the good people there are hospitable, proud, and resilient like no other. An apology is in order",tweet,"""Every father should remember that one day his son will follow his example instead of his advice."" -Charles Kettering Photo: Shepherd father kisses daughter in Helmand province, Afghanistan. (c) Anja Niedringhaus, AP journalist killed in Khost, Afghanistan during 2014 elections",tweet,Thanks Wendy. Yes #Unequal. It was disheartening and disturbing the see the lack of discussion and debate about violence against women + children in the election campaign - and #VAWA reauthorization has now been stalled in Senate for two years!,reply,Thanks David. Agree 💯! Grateful for you &amp; bless all Frontline health workers! stuck in a warp where politicians get person of the year every election year no matter what. @JoeBiden @KamalaHarris 2020 @realDonaldTrump 2016 @BarackObama 2012 &amp; 2008. 2004 &amp; 2000. #COVID,reply,April is Sexual Assault &amp; Domestic Violence Awareness Month. Please 1. Support survivors 2. Push your Senator to reauthorize VAWA Violence Against Women Act stalled in Senate 3 yrs. due to patriarch politics 3. Advocate: Only 23% sexual assaults reported &lt;1% of rapists convicted,tweet,"🇮🇳 India RIP 135 teachers in Uttar Pradesh who died from COVID19, after being ordered to manage panchayat local election poll stations. The teachers asked to get COVID19 vaccines first, but received no response. Their diligence cost them their lives. Many more teachers infected.",tweet,"Afghanistan The new Taliban administration now joins the ranks of the very few countries where NO women serve in high-ranking positions in government: Azerbaijan, Armenia, Brunei, North Korea, Papua New Guinea, Saudi Arabia, Thailand, Tuvalu, Vanuatu, Vietnam and Yemen.",tweet,"@SenatorTester Does US Senate or this administration plan to prioritize re-authorization of Violence Against Women Act #VAWA - stalled since 2019 with ~$500 million critical funding at stake? Violence against women has soared during COVID pandemic, but mostly ignored by media &amp; politicians.",reply,0,,,,,,,,,,
muhannad111ksa,"Yes. Trump's not alone. Federal income taxes paid by corporations a year after his tax plan was signed into law: $0: Amazon $0: GM $0: Netflix $0: Chevron $0: FedEx $0: Eli Lilly $0: Starbucks Dr. King was right. We have socialism for the rich, rugged capitalism for the rest.",retweet,"Democrats and Republicans have problems, They put us in the middle of there fight What's coming is worse for the US So we have to move on Russia and China are the future",quote,"Saudi report threatens Trump over #JamalKhashoggi 1. Install a Russian base 2. Take oil to $200 3. Kill the petro dollar 4. Stop buying US weapons US will ""stab its own economy to death""",retweet,"#Trump message to President #Putin, Crown Prince of #Saudi_Arabia #Mohammad_bin_Salman “#MBS”✉️ I want to, but i can’t be with you guys because I will get attacked by #Washington_post, #CNN, and the #Democrats. so have fun and I wish I can be with you guys I’m so jealous",tweet,BREAKING— (thread)GOP operatives are for the first time raising the possibility that @realDonaldTrump could drop out of the race if his poll numbers don’t rebound. Over the weekend I spoke to a sample of major players; one described Trumps current psyche as “fragile.” I’m,retweet,For sure we will have a long discussion Because I like republican you like democrat,reply,When Obama was the president Fox news was the fake news And now Trump is the president CNN is the fake news,reply,2 Trump knows 90% of your country are racist So in his campaign and Twitter he start saying racist stuff to get their approval When he go back to the White House everything changed and he start to act like real President,reply,"TRUMP: ""The germ has gotten so brilliant that the antibiotic can't keep up with it ... there's a whole genius to it ... not only is it hidden, but it's very smart.""",retweet,"First, I went to the Wright State University in the U.S with a full scholarship paid by my generous country. Secondly, we ""camel rider"" drive luxury cars and live in mansions that you won’t be able to afford, even in ur sweetest dreams We’re proud of our history?",reply,0,,,,,,,,,,
oliviamarie10,I think we keep thinking Biden has a chance BUT if he does look like he’s winning tonight..and let’s say they call him the winner tonight..trump gon show his ass and say there was foul play and claim there was cheating involved,reply,@realDonaldTrump of course trying to say the election is rigged but we saw that coming! If it was switched Biden would’ve taken his loss like a man. But Trump could never do that,reply,I hope all y’all understand trumps dumbass is not getting elected again..like please understand this shit lmao,tweet,It’s projected bc all the bs trump trying to pull..it’s always “projected” bc it isn’t official until January..tell that dumb ass girl Trump was “projected” but Hilary took that L instead of cryin like a lil punk..if trump flipped any two states he still couldn’t win that’s facts,reply,I just hope if Biden wins and trump shows his ass the win isn’t reversed..let’s be clear Biden wasn’t my first choice but TRUMP can never be an option,reply,@HillaryClinton really owned trump he was just as repetitive as ever..and all he said was Mexico and make America great again..basically,reply,My hometown is really something else..this lost lady just posted “Trump is still your president 🇺🇸” girl if you don’t sit yo ass down..y’all want him to stay in office so bad you’re in denial 🤣🤣,tweet,Trumps twitter page makes me hope that it is really not him tweeting the dumb shit and the blue check beside his name is fake😂 why is he such a fucking idiot,tweet,"Watching Trump &amp; Biden in side-by-side picture in this debate, makes me feel like I'm looking at picture day at a senior center... #Debates2020 #PresidentialDebate",retweet,If trump becomes president he don't have to send me back I'm sending myself back .,retweet,0,,,,,,,,,,
BarackObama,Elections matter—and we’re seeing why. Congratulations to the Biden Administration and to the American people on a COVID relief bill that will improve the lives of families across the country.,tweet,"Before their obstruction of President Obama's nominee, these six senators voted to confirm Judge Garland.",tweet,That’s why I fully support @POTUS’s call to modify Senate rules as necessary to make sure pending voting rights legislation gets called for a vote. And every American who cares about the survival of our most cherished institutions should support the President’s call as well.,reply,"If we want our democracy to function, we have to show up this election for the Governors, Secretaries of State and the candidates down the ballot who are going to protect voting rights and our electoral process. Because these seats wield a lot of power, and that power matters.",tweet,"And now, thanks to the hard work of President Biden, Senator Schumer, Speaker Pelosi, and Americans all across the country who have spent years fighting against repeal and pushing to improve the law, our starter home is starting to look pretty spacious.",reply,Senate leaders must put country before party politics. Read why it's time to give Judge Garland a vote.,tweet,"Let's celebrate Democratic candidates like , who will be Nevada’s next Secretary of State. His opponent spread conspiracy theories and lies about voting machines. Cisco will protect the integrity of Nevada’s elections.",reply,"I’m proud to endorse these outstanding Democratic candidates who will work to get the virus under control, rebuild the economy and the middle class, and protect Americans’ health care and preexisting conditions protections. Support these candidates––and vote early if you can.",tweet,"Yesterday, the House passed the John Lewis Voting Rights Advancement Act that will help Americans everywhere make their voices heard. Now the Senate needs to follow the House’s lead. Call your Senators and ask them to do the right thing. Our democracy is on the line.",quote,"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a terrific way to register voters, organize communities, and ramp up turnout in the battleground states that will decide this election:",tweet,0,,,,,,,,,,
BentonMNSheriff,National Public Safety Telecommunicator's Week in their own words. Public safety is a team effort and our PSTs have some advice if you ever need to call 911. What should the public do when they need to call 911?,tweet,"Do you have a K-9 unit? If so, what type of dogs do you have and how many? Names?? We have one K-9 named Ragnar. Ragnar is trained in tracking, drug detection, and apprehension. He is a good dog and works hard every time he and his handler are on the road. #goodquestion",tweet,"Don't know who this person is. Personally don't think much is gained by using profanity or engaging in social media arguments. But to be fair, the last pic is talking about the distance a person with a knife can traverse and kill you before the average officer has time to react.",tweet,"A gift card is what you get Karen in the office secret Santa exchange, not how you pay taxes! Governments don't accept gift cards. If someone claims to be from the government &amp; insists on payment in gift cards, it is a scam. Avoid the criminals &amp; save the gift cards for Karen.",tweet,"COVID-19 NUMBERS MAY BE MISLEADING Keep in mind that the number of cases recorded by MDH does not truly reflect what is happening due to limited testing. The number of cases may drop, giving people a false sense of security.",tweet,"While today marks the end of National Correctional Officer Week, it does not mark the end of the commitment the men and women in this important field of law enforcement exhibit. Thank you to all those working in these facilities!",tweet,The most effective way to protect children from online exploitation is to learn about what apps they are using. Ensure the apps are age-appropriate and have proper privacy settings in place. Conversations with children about how to identify &amp; react to online predators is a must.,reply,We have received a report of a criminal calling area residents claiming to be a member of the BCSO advising people that they have an arrest warrant and must send in money. This is a scam. The BCSO does not call people with warrants nor demand money over the telephone.,tweet,"We received word that a new scam is circulating wherein a criminal calls stating that there is a problem with your social security number. This is a scam. NEVER give out personal or financial information to anyone who contacts you unexpectedly, no matter their reason for asking!",tweet,"Recently, we responded to calls that included citizens firing warning shots because they believed someone was prowling around their property. This is incredibly unsafe and potential illegal. In MN, citizens may not use deadly force to protect property.",tweet,0,,,,,,,,,,
HeavyMetalYetii,"Bottom line is though, no matter the genre of music or whether they were there to shop for black Friday. We are becoming unrepairably broken as a society and there is no one group to blame. We're all in this shit show together so break the cycle and be kind to one another. 🤘🖤",reply,Haha conservatives are so afraid of democracy 🤣,reply,"END OF YEAR METAL LISTS:📝🔥2021🔥 The End of MäN!➡️Kicking off with a 2 part 144 drop that are NOT in my Top 60 but nonetheless, albums I like and will continue to enjoy! Some are Top 10 for others, some might serve as a reminder.🔥Riffs! Seek, Save. Share! #MetalAOTY2021 #KMäN",retweet,"A cast system for what types of food we eat or allowed to eat due to resources restrictions. The highest ranks still get grown food. Real ""flavours"", the lowest get a gov issued food paste w all vitamins, nurtirents, the people need to be hard workers...",reply,"Yea this was. Bottom line is though, no matter the genre of music or whether they were there to shop for black Friday. We are fucked as a society and there is no one group to blame. We're all in this shit show together.",reply,"Quick review: They aren't breaking new boundaries or reinventing the wheel. But this is delicious, OSDM with a hint of thrash. Exactly what I want. The fact that in 2023 we can still get solid material from a band that started almost 40 years ago just makes me extremely happy.",retweet,"&lt;Iron Maiden Song Rankings&gt; We will start another adventure of the Iron Maiden Song Rankings tomorrow! This time, we will vote for A Matter of Life and Death &amp; The Final Frontier🤘 This will be super exciting😁 #IronMaiden #SongRankings #AMatterOfLifeAndDeath #TheFinalFrontier",retweet,"Dear metal twitter, we are nearing that magical number of follows and would love help pushing us to it. So if you know of anyone who would be into unashamedly nerdy ""adhd-meets-d&amp;d"" doom metal that is incapable of taking itself too seriously, send them our way. 🧙‍♂️⚔️🖤",retweet,"Malignant Alter is what it would sound like if Morbid Angel became addicted to huffing super glue and record an album while physically trapped inside a hoarder house due to their morbid obesity. In other words, it’s some of the best death metal this year.",retweet,Incredible man. Inoculation didnt make it for Toronto but a wicked band Temple of Night subbed in. Alluvial and Krisiun are not to be missed. They gave er hell. Krisiun are deathmetal GODS if you haven't checked them out before.,reply,0,,,,,,,,,,
Q1051rocks,"Hey #Twitter People, I need 4 MILLION RT's by Friday...don't ask why. #Trump #Party #FoodPorn #RegularPorn",retweet,"Yesterday, Rambo claimed he won $2,000 in a bet. Gunner and Marija called him out and said he was lying! #Fargo",tweet,"BREAKING: Cleveland Facebook murder suspect Steve Stephens has been found dead in Erie, PA after a brief pursuit, police say.",retweet,"In response to all of the recent clown sightings, Q105.1 presents American Horror Story: The Clowning. #AHS",tweet,"Danny Worsnop of Asking Alexandria has gone country...big time. Check out his music video for ""Mexico"" here!",tweet,Get in the Halloween spirit with our rendition of American Horror Story! This is...THE CLOWNING.,tweet,"As of right now, who's getting your vote for president?",tweet,We were thinking about giving each other tattoos on the show tomorrow because it is funny. Marija said she wanted to give me a tattoo of a frog. This is what she drew. I’m out of the contest. -Gunner,tweet,"📣 New Podcast! ""Lex &amp; Terry Minute That Rocks! What's In Sarah's Box Was One For The Ages"" on #box #comedy #destory #fargo #fun #funny #lex #morning #nd #q105_1 #radio #rock #show #surprise #terry",tweet,"ROCK N ROLL CALENDAR! Wanna win a ""2019 Rock N Roll Images by Lou Brutus"" calendar? These can *only* be won on my social media. Just RT this tweet and make sure you're following . Winner tomorrow morning w other chances coming on my official Facebook and Instagram!",retweet,0,,,,,,,,,,
nothingmorerock,. is happy to let you know of will be joining him for this month’s A FEW GOOD BRÜS livestream featuring . The beer will flow on all Nothing More socials Sunday March 20th 5PM CST / 2PM EST. Hope to see y’all in the stream!,tweet,"Touring with and registering their fans to vote has been amazing. Nows your last chance to enter to win their signed guitar! Visit to enter. You can #RegisterToVote, volunteer or get personal election alerts when entering.",retweet,". and will join forces to dominate stages around the country later this month 🤝 Plus, and are on the bill...what's not to love? See for yourself on 5/31 →",retweet,"We’re very excited to be bringing the #ɥʇnɹʇ tour to the UK in April. Meet &amp; Greet Packages are available NOW including ticket, meet &amp; greet, a copy of the first-ever pressing of “The Few Not Fleeting” on exclusive clear vinyl and more. Get yours at",tweet,"Congratulations to Jason from Utah for signing up for election alerts and winning the signed guitar from ! Thank you Nothing More for supporting us, and your amazing fans for getting down with democracy! #TheFutureIsVoting",retweet,Thank you to everyone who’s been listening to us. We know you’re waiting on some new music and we appreciate how patient you’ve all been. We’re working hard on this new album and every day in the studio brings us closer to sharing it with you. 2022 is going to be epic.,tweet,"Our label put together a streaming festival with a bunch of our label mates. We’re still not together and able to perform, but be sure to check it out. Proceeds support . Tune in on Better Noise's Facebook, Youtube, or Twitch.",tweet,Want to join us for a virtual meet &amp; greet + get a signed poster? All you have to do for your chance to win is become a member of THE FEW. We’ll be picking 2 winners: one from the new sign-ups &amp; one from those who are already members. Join THE FEW now at .,tweet,"We want you to share your #ɥʇnɹʇ and vote, so we will be giving away a signed guitar to encourage you to get involved. Text 'VOTER TRUTH' to 40649 or stop by the table at a show to enter to win. #NothingMore #HeadCount #RegisterToVote",tweet,Regina's 126 year old Government House is haunted by a ghost named Howie. Hopefully he likes rock music. #NothingMore #CanadaTour #Howie 📷: lastlightphotovideo @ Conexus Arts Centre,tweet,0,,,,,,,,,,
NamiKim_DogsSK,"..I am sharing the post by Hanggang called ""Happy Puppy"" The article is about a group of students who were supposed to visit US and it was turned down.. The school can not accept any students from a dog eating country... Full post ➡️ #SaveKoreanDogs",tweet,"#Icheon Dog Auction House This is the entrance of the so called meat dog auction house. I've known the owner of the facility for years now. I shut down one they first operated then they moved to another city, now we are here in the City of Icheon... ➡️",tweet,"DOREE, our neighbours dog #Gimpo Doree is doing so well, so far so good. While Doree's skin is under control, it's time to treat his eyes. The test results are back from the government lab. It's fungus that needs long term treatment... Full post ➡️",tweet,I went to a wedding yesterday. Yeonji who used to volunteer and led the #Goyang team was getting married. She rescued over 30 dogs she used to feed while working full time as a social welfare team leader of Goyang City... Full post ➡️ #SaveKoreanDogs,tweet,"#SaveKoreanDogs our #SuccessStories Before &amp; After Tiger, now Maverick! How content, how relaxed! The way it should be. We still call him Tiger here and make us feel what we do as a team is worth doing... ➡️ MAVERICK, #SouthKorea #DogMeatTrade survivor",tweet,"The Journey to a New Fresh 2nd Life The whole process of life saving and changing!! This may apply to those who have a dog from #SaveKoreanDogs Formerly Tiger, new life and new name Maverick is finally in his bed.. Full post ➡️ ℹ️",tweet,"It's been four years since the article, I am not sure if any changes in the consumption of #DogMeat soup. I am afraid we will need to wait till the elderlies all deceased... Article via .@CNN Full post➡️ #SaveKoreanDogs",tweet,"Our monthly regular group of volunteers visited a private shelter I've been supporting in #Asan. This shelter is run by an old lady called ""Snow White and Dwarf"" with 300 dogs. This is what it looks like, a garbage dump... Full post➡️ #SaveKoreanDogs",tweet,Those moved into the new building are out for a while. I am so glad they get along one another adjusting fine in the new smell. Most of all they are kept warm in this cold... Full post ➡️ #EndDogMeatTrade #SouthKorea #SaveKoreanDogs,tweet,"Meet TORY, raised to be slaughtered for meat. TORY and his mates had a hard start in life, barely existing with no way out until the butcher came. Except, not this time. This time Nami came.. Full post and to donate➡️ Adopt TORY 👉",quote,0,,,,,,,,,,
TheViditsharma,"On an average day, a stray dog travels more than 5 km in search of food. Having a decent meal has become a luxury for them. Let us come forward and share some food and love with these helpless street-bound souls, because they are our responsibility And if not us, then who will?",tweet,"they charged us 13000 Rs for this service and repair, Even after the VAN is under warranty ( They claimed that Gear box have some issues ) After taking the handover on the same day in the evening that VAN again stopped and did not start. we get it touch with the same workshop",reply,Feeding them is absolutely legal No court denies that Animals are also an integral part of our society. Indian laws are in favour of feeding Animals also have their rights Rest your call 🙏,reply,"They are two. GOI would be more than happy to collect a fine of Rs. 100/- from them. That’s the cost of ill treating a non-vote bank in India. Someday, something mammoth will happen, and only then the administration will wake up from their slumber.",retweet,"Both the death of a child and the death of a dog are tragic events that should be called out in the same way - with empathy and sorrow. We should not justify or celebrate violence against any living being, regardless of species.",reply,"Global media is speculating whether current challenges in the business sector will trip India’s ambitions to be a global economic force. I’ve lived long enough to see us face earthquakes, droughts, recessions, wars, terror attacks. All I will say is: never, ever bet against India",retweet,"Moreover, dogs are social animals and have been known to form strong bonds with humans, which can have a positive impact on mental health and wellbeing. They also help humans in various tasks such as guarding property, assisting in search and rescue operations,",reply,"The loss of a child is a tragedy that no family should have to endure. My heart goes out to them in this difficult time. However, it's important to remember that eliminating every stray dog will not bring back their child or prevent future tragedies.",reply,"Most of the people treat street dogs as lifeless stones. They get pelted, scared away, misjudged and become a victim of human cruelty. What we need to understand that all it takes a little effort through which we can make their miserable conditions better #Dogs #Noida",tweet,"Most of the people treat street dogs as lifeless stones. They get pelted, scared away, misjudged and become a victim of human cruelty. What we need to understand that all it takes a little effort through which we can make their miserable conditions better #dogs #LetsDoMore",tweet,0,,,,,,,,,,
Vicky06957419,The Big Cat Public Safety Act has passed the Senate. Ask Biden to sign it to save lions and tigers from becoming selfie props.,tweet,What does it really take for you to STOP the removal off&amp; slaughter of wild horses&amp; burros? First of all they are still protected by law- that should mean something even if you allow the sell out of public lands- without commenting of any of this of course! On your watch! @POTUS,retweet,The NSW Government will commence the slaughter of the Snowy Mountains brumbys next month under the protection of the covid restrictions of no camping and or public access to the Kosciusko National Park- Stop the Slaughter of the High Country... via,tweet,"Ask President Joe Biden to designate #AviKwaAme, #PlumIsland, and #CastnerRange as National Monuments to protect these places for the wild animals who live there.",tweet,"@POTUS @SecDebHaaland Again who is this humter? Give him the glory from twitter by listing his name, 1st and last, city and state. If he has pride in taking a picture, his information should be released. Stop hiding the hunter behind our wild animals.",retweet,"Urge #MemphisZoo, #AZA, Chinese authorities, the US Fish and Wildlife Service, and Tennessee senators to ensure #JusticeForLeLe and #SaveYaYa.",tweet,We are seeing what “conservation” means to you madam secretary. #RelistWolves And @USATODAY Please tell Americans what is happening in Northern Rockies,retweet,"This person is a New Hampshire raccoon hunter, he uses hounds against them. He states one of the raccoons ""was caught by dogs"". Let that sink in! These blood sports can happen on your property if you don't post it. #NHCART #ProtectNHWildlife #Raccoon",retweet,Do you think President Biden will provide federal protection for Rocky Mountain wolves and stop the slaughter? #POTUS #mtfwp #stoptheslaughter #secdebhaaland #marthawilliams,retweet,".@POTUS @SecDebHaaland Newsflash🚨🚨🚨Hunting is a dying sport comprised of a small % of the population. Your catering to this small minority is responsible for killing off America's wolves in MT, ID, &amp; WY. Wolves need federal protection now. #RelistWolves",retweet,0,,,,,,,,,,
almiratanner,"Do not underestimate the political power of being annoying. I worked for years in politics and government and I was very often the guy who answered the phone. There were a few people who would call ever single day to make or check in on their case, and if they weren’t",retweet,"In 2018, 62% of California voters approved one of the best animal welfare and public health laws in years: banning imports of pork and other food that use the cruelest torture of animals. The Biden DOJ is now joined with the pork industry to overturn it:",retweet,"In contrast to other groups careful to avoid liability, Marceau said, DxE is “so confrontational and so willing to say, ‘Well, no, the law is part of the problem. If they’re going to come after us, they’re going to come after us.’” Thank you Andrew Schwartz &amp; !",quote,Such a pleasant morning being called an idiot and told to go back to Canada by a State Senator. *cough*Rozenboom*cough*,tweet,"IT TOOK ALL 50 STATES, THE AMISH, KPOP STANS, 13 OTHER COUNTRIES, WITCHES, ANONYMOUS, THE LGBT COMMUNITY, CELEBRITIES, STAN TWITTER, PEOPLE OF COLOR, WHITE ALLIES &amp; BATMAN TO GET 2ND DEGREE MURDER AND THE THREE COPS ARRESTED AND WE HAD THE PRESIDENT &amp; MILITARY AGAINST US, MY GOD",retweet,"NEW: Top meatpackers Tyson and Smithfield drafted the executive order eventually signed by Trump in April 2020 to keep meat plants running during the early months of the Covid pandemic, found a House report out today. My story TK. Read the report here:",retweet,"Tonight on : They call it a rescue, but farmers disagree. Should these #BayArea animal rights activists, , face charges for setting their livestock free? Watch ’s report. Weigh in, vote &amp; RT We'll share your comments 10p ch44cable12",retweet,"What an honor to be asked by to speak at the Animal Liberation Conference March, San Francisco! Can't wait to be part of such an amazing event &amp; meet so many inspiring people who are helping to liberate our animal cousins ✊ #vegan #activism",retweet,Filed an anti-SLAPP motion against a horse racing track that got them so mad that they requested $40k in sanctions against *me personally* for filing it. Just got the tentative and it is to grant. They're gonna be big mad at tomorrow's hearing.,retweet,Know how infuriating it is for Trump to talk about #hydroxychloroquine despite scientific consensus that it’s not helpful &amp; actually harmful. Yeah...that’s how I feel every time the gvt supports animal ag. How much more evidence do you need that it needs to end?! #CancelAnimalAg,tweet,0,,,,,,,,,,
sengendojoseph,I’m in Africa where they don’t take the life of animals serious but I try as much as I can to teach different communities to consider animals as their relatives but not food or properties for sell. So friends if you can help me in any way possible to feed the animals,retweet,I’m in Africa where they don’t take the life of animals serious but I try as much as I can to teach different communities to consider animals as their relatives but not food or properties for sell. So friends if you can help me in any way possible to feed the animals,tweet,He's an awesome kid who needs some one big in this sanctuary industry to aid him &amp; his animals. They MUST eat. The animals need to put on more weight. Poor souls. He àlso has younger siblings.please donate ❤,retweet,pls step in 4 Ugandan animals &amp; 4 this young man who is trying to take care of animals that are dumped or surrendered to his little home with any donations. His dream is a functioning sanctuary❤,retweet,pls step in 4 Ugandan animals &amp; 4 this young man who is trying to take care of animals that are dumped or surrendered to his little home with any donations. His dream is a functioning sanctuary❤,retweet,Let us try to respond to the voice of animals who are crying for food and freedom,retweet,Let us try to respond to the voice of animals who are crying for food and freedom,tweet,"If we have the conviction that we must live in harmony regardless of any difference, this must extend to all other non-human beings. Let's treat animals the way we would like to be treated, not cruelly, but with love. Greetings! ❤️🐶🐱",retweet,"This is how we should give shelter to our lovely animals during this season because greedy people have opened their eyes for meat please keep our angels close to you and I’m not interested in hearing about stray animal , they’re all our relatives not stray animals",retweet,"This is how we should give shelter to our lovely animals during this season because greedy people have opened their eyes for meat please keep our angels close to you and I’m not interested in hearing about stray animal , they’re all our relatives not stray animals",tweet,0,,,,,,,,,,
GregoryMHouston,Trump shit in Biden’s pants to make him look bad in front of the Pope and then Trump used Jedi mind tricks to make little Joey fall off his bike and trip down the stairs. It’s all the previous administration’s fault. Ask a democrat they’ll tell ya.,retweet,"True that... however right,wrong, or indifferent, they tend to do something at least. Let's see what our Republican congress does now. Under Trump they had total control first two years, Congress and House, and did absolutely nothing. Not holding my breath now either.",quote,"What a coincidence, that the House's receipt of Trump's tax returns occurred at roughly the same time that Elon Musk is about to release data on election tampering. Great timing, wouldn't you say? Which story will make headlines and which one will be buried?",retweet,"#Congress I'm pretty sure President Trump got a good taste of how deep the swamp is, when he was in office. In reality, there is no Democrat,or Republican party. It's mostly, greed infected swamp creatures.",quote,"Okay I know they all keep preaching this Democracy thing, however. We are a Constitutional Republic, not a democracy. In reality it's not 10% holding this up, it's basically split 50/50 with the the voting. It's our Congress holding it up. F the Democrat and Republican shit.",quote,"So... now Republicans that won't vote for Trump hater,McCarthy... well they're Terrorists now. WTF one might be thinking... Personally nothing surprises me, as to what the swamp will do to stay in power. We need term limits, and full financials on all government representatives.",tweet,"#BROKEN: Smoke, and mirrors... By the way, Joey's own party is going after him, like much of the Republican party silently went after Trump,they want Camel Toe as President. As for Pence. Who even gives a shit about him?",quote,"#conspiracytheory Give this thought. What if they knew all along that Biden had these documents at his home,and the like. Perhaps they knew the raid of Trumps Mar-A-Lago estate wouldn't hold water, unless they can remove a sitting President for such actions. All to stop Trump.",tweet,"No he's not, and yes Trump was cheated out in the election. However, our country is a Constitutional Republic, thus no one can be above what it afforded to them by it's pure, and simple existence. In the same ideology, that no man is above the law.",quote,"Possibility: Democrats actually want Biden impeached, so the first female president will be Kamila. An easily manageable female president. Then perhaps they'll run Hunter in 2024. Sad part is, if mail in voting isn't done away with, he could win.",tweet,0,,,,,,,,,,
